Month-Year	Number	Questions	Choice A	Choice B	Choice C	Choice D	Choice E	Answer
Jan-22	64	A company has decided to remove all Internet access from a manufacturing floor. Which of the following management strategies would BEST describe this course of action?	Assessment	Mitigation	Risk-avoidance	Transference	Acceptance	C
Jan-22	65	"A caller to the help desk needs to have a password reset, and they say that payroll checks won't be processed without the reset? Which of the following social engineering principles is in use?"	Intimidation	Familiarity	Authority	Trust	Social proof	A
Jan-22	66	A user is logging into a third-party accounting service with their Google credentials. Which of the following would describe this authentication method?	Multi-factor	TOTP	Federation	Push notification	Smart card	C
Jan-22	67	A security administrator would like to monitor an application for invalid JSON strings. Which of the following would be the BEST choice for this task?	SWG	IPS	IPsec	MDM	SAE	A
Feb-22	68	Which of the following tools would allow a security administrator to extract a browser history from a drive image?	hping	Autopsy	theHarvester	Nessus	sn1per	B
Feb-22	69	An audit has found credit card transfers sent across the network in plaintext. Which of the following would be non-compliant for this issue?	GDPR	802.1X	OWASP	PCI DSS	TPM	D
Feb-22	70	Which of the following would BEST describe an IOC?	A system is expected to fail every three years	All wireless traffic is encrypted	An audit is performed every six months	All laptops are configured for FDE	A file hash value has changed	E
Feb-22	71	Which of the following technologies store information in a distributed ledger?	CASB	HSM	Blockchain	SSID	PII	C
Mar-22	72	An administrator would like to determine the wireless signal strength in each office of a building. Which of the following would be the BEST choice for this task?	Site survey	Port scanner	Light meter	Tone generator	Vulnerability scanner	A
Mar-22	73	A security administrator needs to capture network packets to a file for additional processing. Which of the following would be the BEST choice for this task	grep	tcpdump	theHarvester	Nessus	Nmap	B
Mar-22	74	An invoicing application shows credit card information with asterisks instead of the actual numbers. Which of the following would BEST describe this technique?	Tokenization	Pseudo-anonymization	Symmetric encryption	Data minimization	Data masking	E
Mar-22	75	An attacker has obtained files from a web server that are stored outside of the site's file directory. Which of the following would BEST describe this attack type?	Resource exhaustion	Replay attack	SSL stripping	NULL Pointer dereference	Directory traversal	E
Mar-22	76	A user is verifying the contents of an email by using the public key of the sender. Which of the following BEST describes this verification?	Steganography	Blockchain	Digital signature	Symmetric encryption	Quantum computing	C
Mar-22	77	A user connecting to the wireless network receives a login prompt in their browser with an authentication request. Which of the following would BEST describe this process?	WPS	AES	WPA3	Captive portal	Something you are	D
Apr-22	78	A Linux administrator needs to prevent users from accessing a certain system file. Which of the following would provide this function?	chmod	logger	tail	sn1per	netstat	A
Apr-22	79	A company requires that each employee maintain confidentiality regarding the tasks of their employment. Which of the following would be used to maintain this confidentiality?	EULA	Split knowledge	Off-boarding	NDA	AUP	D
Apr-22	80	Which of the following would prevent an attacker from using a rainbow table against a set of password hashes?	Rootkit	Salt	AES	RAT	Supply chain attack	B
Apr-22	81	Which of the following would be the BEST example of an RTOS?	USB data blocker	RAID	Steganography	Fog computing	Automobile	E
Apr-22	82	"A company has removed all of their data from a user's mobile phone, but the user's private information remains on the device. Which of the following would BEST describe this functionality?"	Context-aware authentication	Full device encryption	Containerization	Biometrics	Geofencing	C
May-22	83	Which of the following data types is the MOST volatile?	Backup tapes	Temporary files	ARP cache	Router configuration	Stored log files	C
May-22	84	Which of the following would be categorized as a detective security control?	Door lock	Motion sensor	Backup power system	UPS	Warning sign	B
May-22	85	An administrator was able to determine the password for each email login occurring during a morning security test. Which of the following would be the MOST likely explanation?	MAC spoofing	Replay attack	Driver manipulation	Wireless disassociation attack	Insecure protocols	E
May-22	86	Which of the following would be MOST associated with TOTP?	GPS coordinates	Phone app	Faraday cage	Diamond model	Air gap	B
Jun-22	87	Which of the following would provide the BEST security for a cloud-based microservice architecture?	API monitoring	NGFW	Real-time anti-malware	Segmented VLANs	IPS	A
Jun-22	88	"A pentester would like to perform a port scan to a remote device, but have the scan source originate from another country. Which of the following would be the BEST choice for this requirement?"	sn1per	Nessus	theHarvester	scanless	hping	D
Jun-22	89	A company is performing an audit to ensure that all credit card transactions are secure. Which of the following would provide guidelines for this audit?	GDPR	EULA	NDA	PCI DSS	SOX	D
Jun-22	90	A security operations center has been informed of a new vulnerability with a CVSS of 9.0. Which of the following would provide more information on this score?	National Vulnerability Database	SOAR	Microsoft Security Bulletins	CASB	SIEM	A
Jul-22	91	A user has misplaced a flash drive containing a database with sensitive information. Which of the following would BEST describe the state of this database?	Redundant	Data at rest	FDE	False positive	Digitally signed	B
Jul-22	92	A user has copied a presentation to a folder and shared the folder with everyone in the Marketing group. Which of the following would BEST describe this type of access control?	Rule-based	Conditional	Discretionary	802.1X	Mandatory	C
Jul-22	93	"A security administrator has received this information in a log file: 2020-Oct-05 00:10:43 Informational %LINK-I-Up: gi7, aggregated (1). Which of the following would be the MOST likely source of this log entry?"	Firewall	Proxy	DNSenum	File server	Switch	E
Jul-22	94	A company has determined that ten tablets are stolen or lost in a single year. Which of the following would BEST describe this statistic?	ARO	SLE	QoS	SLA	ALE	A
Jul-22	95	A security researcher has found a flaw in an application that allows unauthorized access to the file system. Which of the following would BEST describe this issue?	DoS	Social engineering	Replay attack	Privilege escalation	SSL stripping	D
Aug-22	96	A security administrator needs to prevent all communication between two subnets. Which of the following would be the BEST option for this requirement?	Cold aisle	IPsec tunnel	Air gap	Biometric locks	Next-generation firewall	C
Aug-22	97	A security researcher has created an image from an infected storage drive. Which of the following would be the best way to ensure non-repudiation of the image?	Keep a backup of the image	Create a digital signature	Store the drive in a locked cabinet	Transfer all data over an encrypted channel	Hire a third-party to store the image	B
Aug-22	98	A security researcher has found a flaw in an application that allows unauthorized access to the file system. Which of the following would BEST describe this issue?	BPA	NDA	MOU	SLA	MSA	E
Aug-22	99	An attacker has captured all traffic from a switch without using a tap or on-path technique. Which of the following would allow the attacker access to this data?	Wireless jamming	Bluesnarfing	Denial of service	MAC flooding	Malicious script	D
Sep-22	100	A company would like to securely remove all data from a hard drive and redeploy the drive on another computer. Which of the following would provide this option?	Secure wipe	Degaussing	Shredder	Quick format	Replace the platters	A
Sep-22	101	A security administrator is sending some data to an open port on a remote device. Which of the following would provide this functionality?	ifconfig	netcat	ARP cache	route	netstat	B
Sep-22	102	"During login, a notice is shown with a warning against any illegal use of the system. Which control type is associated with this banner?"	Deterrent	Corrective	Detective	Physical	Compensation	A
Sep-22	103	A system administrator is authenticating all users to a central database. Which of the following would be the best way to implement this authentication method?	DNSSEC	S/MIME	SRTP	SSH	LDAPS	E
Sep-22	104	Which of the following would be the BEST way to provide non-repudiation?	Hash	Sector-by-sector image	Business continuity plan	Digital signature	SSO	D
Oct-22	105	"Before access is allowed through a VPN, a user's computer is checked for the latest anti-virus signatures and security patches. Which of the following describes this process?"	Multi-factor authentication	Directory services	Data loss prevention	Posture assessment	Penetration testing	D
Oct-22	106	Which of these would BEST describe a database containing the results of a blood test?	QoS	PHI	BPDU	DRM	STIX	B
Oct-22	107	An attacker is using an on-path attack to gain access to data over an encrypted connection. Which of the following would BEST describe this attack?	Cross-site scripting	Logic bomb	SSL stripping	Directory traversal	SQL injection	C
Oct-22	108	Which of the following would describe a key exchange occurring beyond the scope of the network?	Symmetric	Certificate	Perfect forward secrecy	Hashing	Out-of-band	E
Oct-22	109	A security administrator has disabled WPS on a wireless network. What is the MOST likely reason for this configuration change?	Increase performance	Updating to WPS2	Reduce the frequency conflicts	Reduce output power	Cryptographic vulnerability	E
Oct-22	110	"A security technician is collecting forensic evidence from a laptop computer. Between the temporary files, backup tapes, memory, and Windows system files, which should be collected FIRST?"	Temporary files	Backup tapes	Memory	Windows system files	N/A	C
Dec-22	111	Which of the following would be the MOST important reason for a mandatory vacation policy?	Identity fraud	Apply least privilege to all users	Implement a clean desk policy	Require at least two people to be present	Execute an NDA	A
Dec-22	112	Which of the following would be commonly found in a SIEM database?	Usernames and password hashes	A list of all IT assets in an organization	Monthly Microsoft update files	Switch and router logs	Vulnerability scan results	D
Dec-22	113	Which of the following would be the BEST way for a security administrator to validate each system connecting to a network?	Federation	Attestation	Multi-factor authentication	Directory services	Smart cards	B
Dec-22	114	A company would like to ensure an application has not been modified before deployment. Which of the following would provide this validation?	Https encryption	Fuzzing	Code signing	Input validation	Secure cookies	C
Dec-22	115	A security administrator is using theHarvester. What type of information would they MOST likely be harvesting?	Open port numbers	Plaintext authentication	Unpatched vulnerabilities	Active IP addresses	Publicly available information	E
Dec-22	116	Which of the following would be the BEST way to provide a website login using existing credentials from a third-party site	Federation	802.1X	PEAP	EAP-Fast	N/A	A
Jan-23	117	A US Federal government agency is using a six-step process for information security. Which of the following would BEST describe this framework?	NIST RMF	SSAE SOC 2 TYPE I/II	CSA CCM	ISO/IEC 27001	CIS CSC	A
Jan-23	118	Which type of threat actor commonly gains unauthorized access to a system without any knowledge of the underlying exploit?	Nation state	Shadow IT	Insiders	Script kiddies	Competitors	D
Jan-23	119	Which type of computing manages some data locally instead of processing all data on a cloud service?	SaaS	Fog computing	Hashing	Load balancing	IoT	B
Jan-23	120	Which of the following would BEST describe network traffic between devices in the same data center?	VPN	Extranet	VLAN	Screened subnet	East-west traffic	E
Jan-23	121	An administrator has received a report with a list of servers running up an unsupported operating system version. Which of the following would BEST describe this report?	IPS log	DNS enumeration	Vulnerability scan	OSINT analysis	Brute-force attack	C
Feb-23	122	A company has added a 24-hour security guard to process guests at the main entrance of their building. Which security control would describe this scenario?	Preventive	Compensating	Detective	Technical	Corrective	A
Feb-23	123	Which of the following would BEST describe an OT DoS?	Power system failure	Web server kernel fault	L2 network loop	Email server buffer overflow	DNS server outage	A
Feb-23	124	Which of the following multi-factor authentication attributes would be associated with signing for a package delivery?	Somewhere you are	Someone you know	Something you can do	Cloud authentication	Something you exhibit	C
Feb-23	125	Which of the following would be the BEST way to securely store web server encryption keys?	Jump server	HSM	Load balancer	Reverse proxy	IPS	B
Feb-23	126	A security engineer has collected evidence from a security breach. Which of the following would maintain data integrity and avoid tampering of this data?	Legal hold	FDE	Event log capture	RAID	Chain of custody	E
Feb-23	127	"A CISO (Chief Information Security Officer) would like to decrease the response time when addressing security incidents. Unfortunately, the company does not have the budget to hire additional security engineers. Which of the following would assist the CISO with this requirement?"	ISO 27701	PKI	IaaS	SOAR	N/A	D
Mar-23	128	A company has documented a unique method of manufacturing their products. Which of the following would BEST categorize this data?	Proprietary	PII	Unclassified	PCI DSS	PHI	A
Mar-23	129	A security professional has received documentation containing a Common Vulnerabilities and Exposures number. Which of the following would BEST describe this number?	Open-source intelligence	Automated Indicator Sharing	Advanced persistent threat	Vulnerability feed	Request for comments	D
Mar-23	130	A point of sale terminal is transmitting information to a processor to validate credit card information. Which of these would best describe this communication?	"Tactics, techniques, and procedures"	Vulnerability scanning	Data in-transit	DNS sinkhole	"Security orchestration, automation, and response"	C
Mar-23	131	A company is using a cloud-based service to provide centralized authentication for all of their users. Which of the following would BEST describe this service?	COPE	CA	SED	ALE	IdP	E
Mar-23	132	The Vice President of Sales has asked the IT team to create daily backups of the sales data. The Vice President is an example of a:	Data owner	Data protection officer	Data steward	Data processor	N/A	A
Apr-23	133	Which of the following would be the least volatile?	Temporary files	Backup tapes	CPU registers	NetFlow data	Routing table	B
Apr-23	134	A credit card transaction has replaced the actual card number with a different number. Which of the following would BEST describe this data privacy technique?	Data minimization	Tokenization	Anonymization	Data masking	N/A	B
Apr-23	135	A security team has been tasked with maintaining firewalls and identifying vulnerabilities in the company network. Which of the following would BEST describe this team?	Red team	Orange team	White team	Purple team	Blue team	D
Apr-23	136	Which of the following commonly controls security for a screened subnet?	Faraday cage	Protected distribution system	Firewall	Proximity reader	Active Directory	C
Apr-23	137	A system administrator has protected a set of system backups with an encryption key. The system administrator used the same key when restoring files from this backup. Which of the following would BEST describe this encryption type?	Asymmetric	Key escrow	Symmetric	Out-of-band key exchange	N/A	C
May-23	138	Which of the following would be the BEST choice for securing voice and video communication?	SRTP	LDAPS	S/MIME	NTPsec	SNMPv3	A
May-23	139	A security administrator is writing a script to search the source of a web page. Which of the following would BEST provide this functionality?	curl	scanless	ifconfig	Cuckoo	dnsenum	A
May-23	140	Which of the following would describe a compensating security control?	IPS	Door lock	Motion detector	Warning sign	Power generator	E
May-23	141	A security administrator has been hired as a member of the blue team. Which of the following would BEST describe one of their new job functions?	Social engineering	Security exercise referee	Ethical hacking	Threat hunting	Vulnerability exploitation	D
May-23	142	A company would like to protect the data stored on laptops used in the field. Which of the following would be the BEST choice for this requirement?	MAC	SED	CASB	SOAR	N/A	B
Jun-23	143	An identical key is used to encrypt and decrypt a file. Which of the following describes this encryption?	Quantum	Ephemeral	Blockchain	Key stretching	Symmetric	E
Jun-23	144	A company has enabled RADIUS Federation. Which of the following would BEST describe this feature?	Enable features based on geographical location	Authenticate from another organization's network	Increase capacity during high utilization	Disable network access prior to authentication	Apply policies from Active Directory	B
Jun-23	145	A security admin needs to modify a portion of a system's boot sector. Which of the following would be the BEST choice for this task?	FTK imager	dd	WinHex	memdump	Autopsy	C
Jun-23	146	An organization is using the SSAE SOC 2 Type II framework. Which of the following would MOST likely be associated with this framework?	System audit	Security policies	A list of known vulnerabilities	Disaster recovering planning	Encrypted tunnels	A
Jun-23	147	An organization is unable to reliably use 802.11 networks or Bluetooth devices. Which of the following would be the MOST likely reason for this issue?	On-path attacks	Cross-site scripting	Logic bomb	RF jamming	Brute force attacks	D
Jul-23	148	Which of the following would be the BEST way to save energy in a data center?	Air gaps	Hot and cold aisles	Industrial camouflage	East-West traffic	VLANs	B
Jul-23	149	Which of the following would be MOST likely to verify the entity requesting a certificate?	Online Certificate Status Protocol	Common Name	Registration Authority	Certificate Revocation List	Internet Message Access Protocol	C
Jul-23	150	Which of the following would be the BEST way to send data to a specific remote port?	netcat	route	grep	dig	tail	A
Jul-23	151	Which of the following would be the BEST example of a preventive control type?	IDS	Weekly backups	Warning sign	Security guard	Hot site	D
Jul-23	152	A new access point was exploited and disabled by an attacker in less than 8 hours after installation. Which of the following would be the MOST likely reason for this exploit?	Zero-day attack	Wireless jamming	On-path attack	Wireless disassociation	Default settings	E
Jul-23	153	A server administrator at a bank has noticed a decrease in the number of visitors to the bank's website. Additional research shows that users are being directed to a different IP address than the bank's web server. Which of the following would MOST likely describe this attack?	Disassociation	DDoS	Buffer overflow	DNS poisoning	N/A	D
Aug-23	154	A security administrator would like to block users from visiting known malicious Internet locations. Which of the following would provide this security?	Honeypot	DNS sinkhole	DLP	Fake telemetry	Embedded system	B
Aug-23	155	A user needs to digitally sign a document before sending it to a third party. Which of the following will be used to create this digital signature?	Sender's public key	Recipient's private key	Recipient's public key	Diffie-Hellman symmetric key	Sender's private key	E
Aug-23	156	An application developer has embedded a certificate into a mobile app. Which of the following would BEST describe the app's use of this certificate?	Pinning	Hashing	Self-signed	Escrow	Stapling	A
Aug-23	157	A system administrator has determined that a spoofed email originated in another country. Which of the following MOST likely provided this information?	Netflow	Syslog	Metadata	IPFIX	sFlow	C
Aug-23	158	A manufacturing company has moved an inventory application from their internal systems to a PaaS service. Which of the following would be the BEST way to manage security policies on this new service?	DLP	SIEM	IPS	CASB	N/A	D
Sep-23	159	Which of the following would BEST describe the amount of time required to fix an issue during an outage?	RTO	MTTR	EULA	MTBF	RPO	B
Sep-23	160	Which of the following would be the BEST way to transfer data to a SIEM?	IPsec	Syslog	HTTPS	SSH	SFTP	B
Sep-23	161	Which of the following would be the BEST way to direct individuals through a specific area?	Motion detection	CCTV	Bollard	Protected distribution	Industrial camouflage	C
Sep-23	162	Which of these would provide management of both mobile and non-mobile devices?	MDM	MAM	SNMP	UEM	HSM	D
Oct-23	163	Which of the following provides a framework for better understanding the techniques which may be used by a potential attacker?	MITRE ATT&CK	Cyber kill chain	OSI	IEEE	Diamond model	A
Oct-23	164	Which of the following would be categorized as an operational security control?	Security policy	Firewall	Hot site	Warning sign	Security guard	E
Oct-23	165	"A network administrator has identified a device sending a large amount of traffic to an external IP address. The computer is power on, but the user is on vacation. Which of the following would be the MOST likely reason for this traffic?"	Botnet	Logic bomb	Spraying	MAC spoofing	Skimming	A
Oct-23	166	A package delivery receipt includes the signature of the receiving party. Which of the following would describe the signature on this receipt?	Something you are	Something you have	Something you can do	Somewhere you are	Something you know	C
Oct-23	167	A user digitally signs all email messages sent to external recipients. Which of the following would be used to provide this functionality?	SaaS	IPsec tunnel	LDAPS	S/MIME	SRTP	D
Oct-23	168	"A security engineer runs a monthly vulnerability scan. The scan doesn't list any vulnerabilities for Windows servers, but a significant vulnerability was announced last week and none of the servers are patched yet. Which of the following best describes this result?"	Exploit	Credentialed	Zero-day attack	False negative	N/A	D
Nov-23	169	A security administrator needs to search a storage drive to obtain email messages and browser histories. Which of the following would provide this functionality?	theHarvester	Autopsy	Nessus	dnsenum	memdump	B
Nov-23	170	An internet provider is required to replace faulty equipment within four hours of an outage. Where would these requirements be documented?	EULA	NDA	SLA	EOL	BPA	C
Nov-23	171	An attacker has placed malicious code on a local coffee shop website in the hopes of infecting systems from a nearby manufacturing company. Which of the following would BEST describe this attack?	Watering hole	Tailgating	Impersonation	Dumpster diving	Logic bomb	A
Nov-23	172	A security administrator has been asked to securely dispose of printed materials created during a recent financial project. Which of the following would be the BEST way to complete this task?	Degaussing	Drilling	Secure wiping	Pulping	Hammering	D
Nov-23	173	"Your development team has installed a new application and database to a cloud service. After running a vulnerability scanner on the application instance, you find that the database is available for anyone to query without providing any authentication. Which of these vulnerabilities is MOST associated with this issue?"	Improper error handling	Open permissions	Race condition	Memory leak	N/A	B
Dec-23	174	A user's browser will only send session keys over an encrypted connection. Which of the following would BEST describe this functionality?	Code signing	Input validation	Static code analysis	Secure cookies	Fuzzing	D
Dec-23	175	A security administrator is gathering data from a compromised host. Which of the following should be gathered first?	Any previous backups	Drive image	Default router configuration	/tmp directory contents	Memory dump	E
Dec-23	176	"A company loses $1,000 each time a tablet device is stolen. Which of the following would describe this information?"	RPO	SLE	MTBF	RTO	ALE	B
Dec-23	177	A team in the security department is responsible for scanning and exploiting vulnerabilities on the company network. Which of the following would BEST describe this team?	Blue	White	Purple	Green	Red	E
Dec-23	178	A Linux administrator is downloading an updated version of her Linux distribution. The download site shows a link to the ISO and a SHA256 hash value. Which of these would describe the use of this hash value?	Verifies that the file was not corrupted during the file transfer	Provides a key for decrypting the ISO after download	Authenticates the site as an official ISO distribution site	Confirms that the file does not contain any malware	N/A	A
Website	179	A social engineering technique whereby attackers under disguise of a legitimate request attempt to gain access to confidential information is commonly referred to as:	Phishing	Privilege escalation	Backdoor access	Shoulder surfing	N/A	A
Website	180	The practice of using a telephone system to manipulate user into disclosing confidential information is known as:	Whaling	Spear phishing	Vishing	Pharming	N/A	C
Website	181	Which of the following terms is commonly used to describe an unsolicited advertising message?	Spyware	Adware	Malware	Spam	N/A	D
Website	182	What type of spam relies on text-based communication?	Vishing	SPIM	Bluesnarfing	SPIT	N/A	B
Website	183	Phishing scams targeting a specific group of people are referred to as:	Vishing	Spear phishing	Spoofing	Whaling	N/A	B
